Train Sonuclari              precision    recall  f1-score   support

           0       1.00      0.99      1.00       200
           1       0.99      0.98      0.99       200
           2       1.00      0.98      0.99       200
           3       1.00      1.00      1.00       200
           4       1.00      0.98      0.99       200
           5       1.00      0.98      0.99       200
           6       1.00      1.00      1.00       200
           7       0.99      0.99      0.99       200
           8       0.99      0.99      0.99       200
           9       0.00      0.00      0.00         0

   micro avg       1.00      0.99      0.99      1800
   macro avg       0.90      0.89      0.89      1800
weighted avg       1.00      0.99      0.99      1800
 samples avg       0.99      0.99      0.99      1800
Test Sonuclari              precision    recall  f1-score   support

           0       0.96      0.95      0.95       100
           1       0.96      0.95      0.95       100
           2       0.87      0.96      0.91       100
           3       0.87      0.87      0.87       100
           4       0.97      0.91      0.94       100
           5       0.95      0.83      0.89       100
           6       0.97      0.96      0.96       100
           7       0.92      0.90      0.91       100
           8       0.96      0.69      0.80       100
           9       0.00      0.00      0.00         0

   micro avg       0.93      0.89      0.91       900
   macro avg       0.84      0.80      0.82       900
weighted avg       0.94      0.89      0.91       900
 samples avg       0.88      0.89      0.88       900
